title	studio	genre	ex_number	image	notion_URL
物理的音楽記録媒体の現代における価値についての研究	エディティングデザイン	本	01	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e8
刺繍とその構造を応用したグラフィックデザインへの展開	ヴィジュアルコミュニケーションデザイン	本, 刺繍、タイポグラフィ	02	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64042
An Enticing Japanese Confectionary Store	空間デザイン	モデル, 空間	03	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
超音波スピーカーによる素材の動きの観察とデザインの探求	インタフェースデザイン	インタラクティブ, インスタレーション	04	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
ケミグラムの表現の研究	ヴィジュアルコミュニケーションデザイン	グラフィック	05	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
離脱しづらく達成感が大きい高難易度ゲームの追求	ソフトウェアデザイン	ゲーム	06	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d575
小学生の金融リテラシー向上のための教材の提案と開発	ネットワークデザイン		07	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
西洋占星術にもとづいて主人公が変わるゲーム	ソフトウェアデザイン	アプリケーション, ゲーム, デジタルコンテンツ	08	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e9
スクールスポーツウェアを素材とするアップサイクルブランドの提案	ネットワークデザイン		09	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64043
日本の「折り」と「編み」を応用したパッケージの制作	インテリアデザイン	どれに当てはまるかわからないです...	10	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
Webサイトにおける新たな書道展示の可能性	ネットワークデザイン	デジタルコンテンツ	11	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
マルチモーダルな天候体感システムの構築	インタフェースデザイン	モデル, プロダクト	12	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
Snow Storage that Connects Students to the Community	空間デザイン	空間	13	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d576
低速度撮影における コマ撮りアニメーション表現	映像デザイン	映像	14	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
仮眠のためのサポートプロダクトと環境デザイン	インテリアデザイン	プロダクト	15	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e10
共感を創出する公共区間デザイン	トランスポーテーションデザイン	空間	16	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64044
未定	インタラクティブアート	インタラクティブ, プロダクト	17	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
読書体験を深める次世代のしおり	製品・サービスデザイン	インスタレーション, プロダクト, 空間	18	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
ちいかわライフ -ちいかわのための団地リノベーション -	インテリアデザイン		19	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
植物素材の透過性とテクスチャーを活かした表現技法に関する研究	ヴィジュアルコミュニケーションデザイン	本, グラフィック, 写真	20	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d577
VMDにおける配色の影響に関する研究	エルゴノミックデザイン		21	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
テラゾーを使用した 新たなサスティナブル建材の提案	製品・サービスデザイン	プロダクト	22	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e11
楽譜における視覚的価値の付加と その装飾デザインの意義	ヴィジュアルコミュニケーションデザイン	グラフィック, イラストレーション	23	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64045
グリッチを応用した視覚表現の研究	ヴィジュアルコミュニケーションデザイン	ポスター, 本, グラフィック	24	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
果物を食べる動作を用いたプロダクトの制作	インテリアデザイン	モデル, インタラクティブ, インスタレーション, プロダクト	25	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
想いをつなぐ共感性ドア	製品・サービスデザイン	プロダクト, 空間	26	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
動画からのキャラクターアニメーションの原画推定	ソフトウェアデザイン	論文, 映像	27	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d578
においを読む	エディティングデザイン	本	28	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
そろばんに触れる機会を創出するためのゲームコントローラー及びゲームの制作	インタラクティブアート	インタラクティブ, プロダクト	29	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e12
言葉の視覚化:言葉への印象を可視化するアプリ	ソフトウェアデザイン	アプリケーション, サービス, デジタルコンテンツ, グラフィック, 文字、言葉	30	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64046
wayfindingにおける認知と多感覚に関する研究	エルゴノミックデザイン	論文, 空間認知、道案内	31	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
空間を自分化するプロダクトのあり方	製品・サービスデザイン	モデル, プロダクト	32	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
